id,pos,carries,receptions,rush_yards,rec_yards,rush_tds,rec_tds
00-0023500,RB,261.0,29.0,961.0,245.0,3.0,1.0
00-0026184,RB,103.0,38.0,382.0,293.0,2.0,1.0
00-0028009,RB,184.0,39.0,711.0,266.0,6.0,1.0
00-0028087,RB,180.0,32.0,895.0,214.0,6.0,3.0
00-0030107,RB,84.0,53.0,288.0,444.0,3.0,2.0
00-0030456,RB,105.0,43.0,459.0,381.0,2.0,2.0
00-0031390,RB,21.0,31.0,95.0,246.0,0.0,1.0
00-0031577,RB,153.0,46.0,595.0,250.0,4.0,2.0
00-0031590,RB,209.0,24.0,885.0,158.0,2.0,1.0
00-0032209,RB,49.0,30.0,253.0,224.0,2.0,0.0
00-0032241,RB,278.0,64.0,1328.0,795.0,15.0,6.0
00-0032257,RB,82.0,74.0,351.0,704.0,4.0,4.0
00-0032426,RB,212.0,23.0,976.0,187.0,6.0,0.0
00-0032602,RB,46.0,34.0,187.0,266.0,1.0,2.0
00-0033118,RB,133.0,32.0,648.0,239.0,3.0,1.0
00-0033526,RB,175.0,22.0,602.0,182.0,1.0,1.0
